analysis,field,node,CI
test-fields,Field 81,SurfaceProcessing,0.0
test-fields,Field 81,TransportAndStorage,0.0
test-fields,Field 81,LiquifiedNaturalGas,0.0
test-fields,Field 81,After,0.0
test-fields,Field 82,TOTAL,6.791829355843841
test-fields,Field 82,ExplorationAndDrilling,1.7200116516147246
test-fields,Field 82,ProductionExtraction,4.593681193364679
test-fields,Field 82,SurfaceProcessing,0.0
test-fields,Field 82,TransportAndStorage,0.0
test-fields,Field 82,LiquifiedNaturalGas,0.0
test-fields,Field 82,After,0.0
test-fields,Field 83,TOTAL,20.686759259918087
test-fields,Field 83,ExplorationAndDrilling,1.7217222806155374
test-fields,Field 83,ProductionExtraction,14.569648342360404
test-fields,Field 83,SurfaceProcessing,0.0
test-fields,Field 83,TransportAndStorage,0.0
test-fields,Field 83,LiquifiedNaturalGas,0.0
test-fields,Field 83,After,0.0
test-fields,Field 83,CrudeOilDewatering,0.0
test-fields,Field 84,TOTAL,16.064381199666308
test-fields,Field 84,ExplorationAndDrilling,1.7217222806155374
test-fields,Field 84,ProductionExtraction,11.187577119291843
test-fields,Field 84,SurfaceProcessing,0.0
test-fields,Field 84,TransportAndStorage,0.0
test-fields,Field 84,LiquifiedNaturalGas,0.0
test-fields,Field 84,After,0.0
test-fields,Field 84,CrudeOilDewatering,0.0
test-fields,Field 85,TOTAL,18.28550997946441
test-fields,Field 85,ExplorationAndDrilling,0.00015766252303421206
test-fields,Field 85,ProductionExtraction,4.128694251757993
test-fields,Field 85,SurfaceProcessing,9.592953294834363
test-fields,Field 85,TransportAndStorage,0.0
test-fields,Field 85,LiquifiedNaturalGas,0.0
test-fields,Field 85,After,0.0
test-fields,Field 86,TOTAL,24.557182686553077
test-fields,Field 86,ExplorationAndDrilling,0.0001422910224416077
test-fields,Field 86,ProductionExtraction,3.7235299591605595
test-fields,Field 86,SurfaceProcessing,14.79491601753991
test-fields,Field 86,TransportAndStorage,0.0
test-fields,Field 86,LiquifiedNaturalGas,0.0
test-fields,Field 86,After,0.0
test-fields,Field 87,TOTAL,8.416222091540337
test-fields,Field 87,ExplorationAndDrilling,0.00014170152051970608
test-fields,Field 87,ProductionExtraction,4.860657950743334
test-fields,Field 87,SurfaceProcessing,0.0
test-fields,Field 87,TransportAndStorage,0.0
test-fields,Field 87,LiquifiedNaturalGas,0.0
test-fields,Field 87,After,0.0
test-fields,Field 87,HeavyOilDilution,0.3817861542541385
test-fields,Field 88,TOTAL,7.977081693416816
test-fields,Field 88,ExplorationAndDrilling,0.00012817653561984817
test-fields,Field 88,ProductionExtraction,4.7608854799249265
test-fields,Field 88,SurfaceProcessing,0.0
test-fields,Field 88,TransportAndStorage,0.0
test-fields,Field 88,LiquifiedNaturalGas,0.0
test-fields,Field 88,After,0.0
test-fields,Field 88,HeavyOilDilution,0.3453458115371105
test-fields,Field 89,TOTAL,25.819930585653843
test-fields,Field 89,ExplorationAndDrilling,1.7217222806155374
test-fields,Field 89,ProductionExtraction,19.706506213068067
test-fields,Field 89,SurfaceProcessing,0.0
test-fields,Field 89,TransportAndStorage,0.0
test-fields,Field 89,LiquifiedNaturalGas,0.0
test-fields,Field 89,After,0.0
test-fields,Field 89,CrudeOilDewatering,0.0
test-fields,Field 90,TOTAL,19.610250770395027
test-fields,Field 90,ExplorationAndDrilling,1.7217222806155374
test-fields,Field 90,ProductionExtraction,14.747329503378733
test-fields,Field 90,SurfaceProcessing,0.0
test-fields,Field 90,TransportAndStorage,0.0
test-fields,Field 90,LiquifiedNaturalGas,0.0
test-fields,Field 90,After,0.0
test-fields,Field 90,CrudeOilDewatering,0.0
test-fields,Field 91,TOTAL,18.157345407650375
test-fields,Field 91,ExplorationAndDrilling,0.00015766252303421206
test-fields,Field 91,ProductionExtraction,4.128694251757993
test-fields,Field 91,SurfaceProcessing,9.900295955595857
test-fields,Field 91,TransportAndStorage,0.0
test-fields,Field 91,LiquifiedNaturalGas,0.0
test-fields,Field 91,After,0.0
test-fields,Field 92,TOTAL,24.092979312505243
test-fields,Field 92,ExplorationAndDrilling,0.0001422910224416077
test-fields,Field 92,ProductionExtraction,3.7235299591605595
test-fields,Field 92,SurfaceProcessing,15.908090259805027
test-fields,Field 92,TransportAndStorage,0.0
test-fields,Field 92,LiquifiedNaturalGas,0.0
test-fields,Field 92,After,0.0
test-fields,Field 93,TOTAL,8.427802698588911
test-fields,Field 93,ExplorationAndDrilling,0.00014170152051970608
test-fields,Field 93,ProductionExtraction,4.872238557791907
test-fields,Field 93,SurfaceProcessing,0.0
test-fields,Field 93,TransportAndStorage,0.0
test-fields,Field 93,LiquifiedNaturalGas,0.0
test-fields,Field 93,After,0.0
test-fields,Field 93,HeavyOilDilution,0.3817861542541385
test-fields,Field 94,TOTAL,32.25209553982121
test-fields,Field 94,ExplorationAndDrilling,1.7217222806155374
test-fields,Field 94,ProductionExtraction,24.843364083775732
test-fields,Field 94,SurfaceProcessing,0.0
test-fields,Field 94,TransportAndStorage,0.0
test-fields,Field 94,LiquifiedNaturalGas,0.0
test-fields,Field 94,After,0.0
test-fields,Field 94,CrudeOilDewatering,0.0
test-fields,Field 95,TOTAL,24.06762823863381
test-fields,Field 95,ExplorationAndDrilling,1.7217222806155374
test-fields,Field 95,ProductionExtraction,18.30708188746562
test-fields,Field 95,SurfaceProcessing,0.0
test-fields,Field 95,TransportAndStorage,0.0
test-fields,Field 95,LiquifiedNaturalGas,0.0
test-fields,Field 95,After,0.0
test-fields,Field 95,CrudeOilDewatering,0.0
test-fields,Field 96,TOTAL,18.02918083583634
test-fields,Field 96,ExplorationAndDrilling,0.00015766252303421206
test-fields,Field 96,ProductionExtraction,4.128694251757993
test-fields,Field 96,SurfaceProcessing,10.207638616357347
test-fields,Field 96,TransportAndStorage,0.0
test-fields,Field 96,LiquifiedNaturalGas,0.0
test-fields,Field 96,After,0.0
test-fields,Field 97,TOTAL,23.79892381058602
test-fields,Field 97,ExplorationAndDrilling,0.0001422910224416077
test-fields,Field 97,ProductionExtraction,3.7235299591605595
test-fields,Field 97,SurfaceProcessing,17.02126450207015
test-fields,Field 97,TransportAndStorage,0.0
test-fields,Field 97,LiquifiedNaturalGas,0.0
test-fields,Field 97,After,0.0
test-fields,Field 98,TOTAL,8.416222091540337
test-fields,Field 98,ExplorationAndDrilling,0.00014170152051970608
test-fields,Field 98,ProductionExtraction,4.860657950743334
test-fields,Field 98,SurfaceProcessing,0.0
test-fields,Field 98,TransportAndStorage,0.0
test-fields,Field 98,LiquifiedNaturalGas,0.0
test-fields,Field 98,After,0.0
test-fields,Field 98,HeavyOilDilution,0.3817861542541385
test-fields,Field 99,TOTAL,7.5387641449297345
test-fields,Field 99,ExplorationAndDrilling,1.7219359985494964
test-fields,Field 99,ProductionExtraction,5.444862237270286
test-fields,Field 99,SurfaceProcessing,0.0
test-fields,Field 99,TransportAndStorage,0.0
test-fields,Field 99,LiquifiedNaturalGas,0.0
test-fields,Field 99,After,0.0
test-fields,Field 100,TOTAL,7.5387641449297345
test-fields,Field 100,ExplorationAndDrilling,1.7219359985494964
test-fields,Field 100,ProductionExtraction,5.444862237270286
test-fields,Field 100,SurfaceProcessing,0.0
test-fields,Field 100,TransportAndStorage,0.0
test-fields,Field 100,LiquifiedNaturalGas,0.0
test-fields,Field 100,After,0.0
test-fields,Field 101,TOTAL,7.5387641449297345
test-fields,Field 101,ExplorationAndDrilling,1.7219359985494964
test-fields,Field 101,ProductionExtraction,5.444862237270286
test-fields,Field 101,SurfaceProcessing,0.0
test-fields,Field 101,TransportAndStorage,0.0
test-fields,Field 101,LiquifiedNaturalGas,0.0
test-fields,Field 101,After,0.0
