analysis,field,node,CI
test-fields,Field 18,ExplorationAndDrilling,1.7200130698160825
test-fields,Field 18,ProductionExtraction,9.16540199143032
test-fields,Field 18,SurfaceProcessing,0.0
test-fields,Field 18,TransportAndStorage,0.0
test-fields,Field 18,LiquifiedNaturalGas,0.0
test-fields,Field 18,After,0.0
test-fields,Field 19,TOTAL,7.737105292673187
test-fields,Field 19,ExplorationAndDrilling,1.7200106439429612
test-fields,Field 19,ProductionExtraction,5.712410987819863
test-fields,Field 19,SurfaceProcessing,0.0
test-fields,Field 19,TransportAndStorage,0.0
test-fields,Field 19,LiquifiedNaturalGas,0.0
test-fields,Field 19,After,0.0
test-fields,Field 20,TOTAL,40.46959099570512
test-fields,Field 20,ExplorationAndDrilling,1.7200032119382853
test-fields,Field 20,ProductionExtraction,31.237885391563804
test-fields,Field 20,SurfaceProcessing,0.0
test-fields,Field 20,TransportAndStorage,0.0
test-fields,Field 20,LiquifiedNaturalGas,0.0
test-fields,Field 20,After,0.0
test-fields,Field 21,TOTAL,8.013218199798002
test-fields,Field 21,ExplorationAndDrilling,1.7200193336078056
test-fields,Field 21,ProductionExtraction,5.8618463963703205
test-fields,Field 21,SurfaceProcessing,0.0
test-fields,Field 21,TransportAndStorage,0.0
test-fields,Field 21,LiquifiedNaturalGas,0.0
test-fields,Field 21,After,0.0
test-fields,Field 22,TOTAL,6.771306755406911
test-fields,Field 22,ExplorationAndDrilling,1.7200121308961003
test-fields,Field 22,ProductionExtraction,4.896155168425024
test-fields,Field 22,SurfaceProcessing,0.0
test-fields,Field 22,TransportAndStorage,0.0
test-fields,Field 22,LiquifiedNaturalGas,0.0
test-fields,Field 22,After,0.0
test-fields,Field 23,TOTAL,9.305432103368092
test-fields,Field 23,ExplorationAndDrilling,1.7200088218114962
test-fields,Field 23,ProductionExtraction,6.816383435683709
test-fields,Field 23,SurfaceProcessing,0.0
test-fields,Field 23,TransportAndStorage,0.0
test-fields,Field 23,LiquifiedNaturalGas,0.0
test-fields,Field 23,After,0.0
test-fields,Field 24,TOTAL,6.904995404624392
test-fields,Field 24,ExplorationAndDrilling,1.72000673771398
test-fields,Field 24,ProductionExtraction,5.020678058750718
test-fields,Field 24,SurfaceProcessing,0.0
test-fields,Field 24,TransportAndStorage,0.0
test-fields,Field 24,LiquifiedNaturalGas,0.0
test-fields,Field 24,After,0.0
test-fields,Field 25,TOTAL,7.308606082791945
test-fields,Field 25,ExplorationAndDrilling,1.7200040654746993
test-fields,Field 25,ProductionExtraction,5.224174279982516
test-fields,Field 25,SurfaceProcessing,0.0
test-fields,Field 25,TransportAndStorage,0.0
test-fields,Field 25,LiquifiedNaturalGas,0.0
test-fields,Field 25,After,0.0
test-fields,Field 26,TOTAL,6.075543180095609
test-fields,Field 26,ExplorationAndDrilling,1.7200085144828459
test-fields,Field 26,ProductionExtraction,4.218038006580993
test-fields,Field 26,SurfaceProcessing,0.0
test-fields,Field 26,TransportAndStorage,0.0
test-fields,Field 26,LiquifiedNaturalGas,0.0
test-fields,Field 26,After,0.0
test-fields,Field 27,TOTAL,12.904989784204682
test-fields,Field 27,ExplorationAndDrilling,1.720041985853985
test-fields,Field 27,ProductionExtraction,10.927030727609505
test-fields,Field 27,SurfaceProcessing,0.0
test-fields,Field 27,TransportAndStorage,0.0
test-fields,Field 27,LiquifiedNaturalGas,0.0
test-fields,Field 27,After,0.0
test-fields,Field 28,TOTAL,4.097905070085827
test-fields,Field 28,ExplorationAndDrilling,1.720011211911271
test-fields,Field 28,ProductionExtraction,2.235232381637253
test-fields,Field 28,SurfaceProcessing,0.0
test-fields,Field 28,TransportAndStorage,0.0
test-fields,Field 28,LiquifiedNaturalGas,0.0
test-fields,Field 28,After,0.0
test-fields,Field 29,TOTAL,6.09064063070064
test-fields,Field 29,ExplorationAndDrilling,1.72000172995739
test-fields,Field 29,ProductionExtraction,4.226492806246363
test-fields,Field 29,SurfaceProcessing,0.0
test-fields,Field 29,TransportAndStorage,0.0
test-fields,Field 29,LiquifiedNaturalGas,0.0
test-fields,Field 29,After,0.0
test-fields,Field 30,TOTAL,5.258433222413323
test-fields,Field 30,ExplorationAndDrilling,1.720035200070323
test-fields,Field 30,ProductionExtraction,3.307310356773347
test-fields,Field 30,SurfaceProcessing,0.0
test-fields,Field 30,TransportAndStorage,0.0
test-fields,Field 30,LiquifiedNaturalGas,0.0
test-fields,Field 30,After,0.0
test-fields,Field 31,TOTAL,179.5310526975075
test-fields,Field 31,ExplorationAndDrilling,1.7200110279419096
test-fields,Field 31,ProductionExtraction,146.47532348074682
test-fields,Field 31,SurfaceProcessing,0.0
test-fields,Field 31,TransportAndStorage,0.0
test-fields,Field 31,LiquifiedNaturalGas,0.0
test-fields,Field 31,After,0.0
test-fields,Field 32,TOTAL,6.10146979721158
test-fields,Field 32,ExplorationAndDrilling,1.7200048681674858
test-fields,Field 32,ProductionExtraction,4.2100645549032
test-fields,Field 32,SurfaceProcessing,0.0
test-fields,Field 32,TransportAndStorage,0.0
test-fields,Field 32,LiquifiedNaturalGas,0.0
test-fields,Field 32,After,0.0
test-fields,Field 33,TOTAL,10.837658955103116
test-fields,Field 33,ExplorationAndDrilling,1.720103011286018
test-fields,Field 33,ProductionExtraction,8.214688888661964
test-fields,Field 33,SurfaceProcessing,0.0
test-fields,Field 33,TransportAndStorage,0.0
test-fields,Field 33,LiquifiedNaturalGas,0.0
test-fields,Field 33,After,0.0
test-fields,Field 34,TOTAL,5.886473483791846
test-fields,Field 34,ExplorationAndDrilling,1.7200310900600193
test-fields,Field 34,ProductionExtraction,4.016221705256124
test-fields,Field 34,SurfaceProcessing,0.0
test-fields,Field 34,TransportAndStorage,0.0
test-fields,Field 34,LiquifiedNaturalGas,0.0
test-fields,Field 34,After,0.0
test-fields,Field 35,TOTAL,6.306220920707276
test-fields,Field 35,ExplorationAndDrilling,1.7200419862078562
test-fields,Field 35,ProductionExtraction,4.396974398695987
test-fields,Field 35,SurfaceProcessing,0.0
test-fields,Field 35,TransportAndStorage,0.0
test-fields,Field 35,LiquifiedNaturalGas,0.0
test-fields,Field 35,After,0.0
test-fields,Field 36,TOTAL,37.163261422158186
test-fields,Field 36,ExplorationAndDrilling,1.7265280629277948
test-fields,Field 36,ProductionExtraction,35.245402675681994
test-fields,Field 36,SurfaceProcessing,0.0
test-fields,Field 36,TransportAndStorage,0.0
test-fields,Field 36,LiquifiedNaturalGas,0.0
test-fields,Field 36,After,0.0
test-fields,Field 37,TOTAL,24.397742953592537
test-fields,Field 37,ExplorationAndDrilling,1.721204646015567
test-fields,Field 37,ProductionExtraction,22.480459646583267
test-fields,Field 37,SurfaceProcessing,0.0
test-fields,Field 37,TransportAndStorage,0.0
test-fields,Field 37,LiquifiedNaturalGas,0.0
test-fields,Field 37,After,0.0
test-fields,Field 38,TOTAL,48.65747273196926
test-fields,Field 38,ExplorationAndDrilling,1.7202785428914944
test-fields,Field 38,ProductionExtraction,46.762001951961565
test-fields,Field 38,SurfaceProcessing,0.0
test-fields,Field 38,TransportAndStorage,0.0
test-fields,Field 38,LiquifiedNaturalGas,0.0
test-fields,Field 38,After,0.0
test-fields,Field 39,TOTAL,22.480949862845286
test-fields,Field 39,ExplorationAndDrilling,1.7408286347326276
test-fields,Field 39,ProductionExtraction,20.289413453263307
test-fields,Field 39,SurfaceProcessing,0.0
test-fields,Field 39,TransportAndStorage,0.0
test-fields,Field 39,LiquifiedNaturalGas,0.0
test-fields,Field 39,After,0.0
test-fields,Field 40,TOTAL,4.418569385402599
test-fields,Field 40,ExplorationAndDrilling,1.720051144881599
test-fields,Field 40,ProductionExtraction,2.5560721503827435
test-fields,Field 40,SurfaceProcessing,0.0
test-fields,Field 40,TransportAndStorage,0.0
test-fields,Field 40,LiquifiedNaturalGas,0.0
test-fields,Field 40,After,0.0
test-fields,Field 41,TOTAL,7.827300169430563
test-fields,Field 41,ExplorationAndDrilling,1.7200916945180293
test-fields,Field 41,ProductionExtraction,5.908048142297548
test-fields,Field 41,SurfaceProcessing,0.0
test-fields,Field 41,TransportAndStorage,0.0
test-fields,Field 41,LiquifiedNaturalGas,0.0
test-fields,Field 41,After,0.0
test-fields,Field 42,TOTAL,8.138760464084159
test-fields,Field 42,ExplorationAndDrilling,1.7201542428459897
test-fields,Field 42,ProductionExtraction,6.238683599832256
test-fields,Field 42,SurfaceProcessing,0.0
test-fields,Field 42,TransportAndStorage,0.0
test-fields,Field 42,LiquifiedNaturalGas,0.0
test-fields,Field 42,After,0.0
test-fields,Field 43,TOTAL,10.079113877681092
test-fields,Field 43,ExplorationAndDrilling,1.7200961229060547
test-fields,Field 43,ProductionExtraction,7.580519183570188
test-fields,Field 43,SurfaceProcessing,0.0
test-fields,Field 43,TransportAndStorage,0.0
test-fields,Field 43,LiquifiedNaturalGas,0.0
test-fields,Field 43,After,0.0
test-fields,Field 44,TOTAL,12.896815047777014
test-fields,Field 44,ExplorationAndDrilling,1.720005759334156
test-fields,Field 44,ProductionExtraction,9.81599150158891
test-fields,Field 44,SurfaceProcessing,0.0
test-fields,Field 44,TransportAndStorage,0.0
test-fields,Field 44,LiquifiedNaturalGas,0.0
test-fields,Field 44,After,0.0
test-fields,Field 45,TOTAL,8.44537591803939
test-fields,Field 45,ExplorationAndDrilling,1.7200862834602324
test-fields,Field 45,ProductionExtraction,6.3869913987640174
test-fields,Field 45,SurfaceProcessing,0.0
test-fields,Field 45,TransportAndStorage,0.0
test-fields,Field 45,LiquifiedNaturalGas,0.0
test-fields,Field 45,After,0.0
test-fields,Field 46,TOTAL,10.645903796838635
test-fields,Field 46,ExplorationAndDrilling,1.720008528474197
test-fields,Field 46,ProductionExtraction,7.649583888914026
test-fields,Field 46,SurfaceProcessing,0.0
test-fields,Field 46,TransportAndStorage,0.0
test-fields,Field 46,LiquifiedNaturalGas,0.0
test-fields,Field 46,After,0.0
test-fields,Field 47,TOTAL,7.612420988290735
test-fields,Field 47,ExplorationAndDrilling,1.720004345524554
test-fields,Field 47,ProductionExtraction,5.429392407333256
test-fields,Field 47,SurfaceProcessing,0.0
test-fields,Field 47,TransportAndStorage,0.0
test-fields,Field 47,LiquifiedNaturalGas,0.0
test-fields,Field 47,After,0.0
test-fields,Field 48,TOTAL,5.961712642650195
test-fields,Field 48,ExplorationAndDrilling,1.720001638945391
test-fields,Field 48,ProductionExtraction,4.0992858629946705
test-fields,Field 48,SurfaceProcessing,0.0
test-fields,Field 48,TransportAndStorage,0.0
test-fields,Field 48,LiquifiedNaturalGas,0.0
test-fields,Field 48,After,0.0
test-fields,Field 49,TOTAL,6.275998934509159
test-fields,Field 49,ExplorationAndDrilling,1.7200006854760315
test-fields,Field 49,ProductionExtraction,4.38668297832069
test-fields,Field 49,SurfaceProcessing,0.0
test-fields,Field 49,TransportAndStorage,0.0
test-fields,Field 49,LiquifiedNaturalGas,0.0
test-fields,Field 49,After,0.0
test-fields,Field 50,TOTAL,7.852818646174186
test-fields,Field 50,ExplorationAndDrilling,1.720007335390533
test-fields,Field 50,ProductionExtraction,5.755580441852717
test-fields,Field 50,SurfaceProcessing,0.0
test-fields,Field 50,TransportAndStorage,0.0
test-fields,Field 50,LiquifiedNaturalGas,0.0
test-fields,Field 50,After,0.0
test-fields,Field 51,TOTAL,6.246100714155228
test-fields,Field 51,ExplorationAndDrilling,1.7200285052192732
test-fields,Field 51,ProductionExtraction,4.352593110425468
test-fields,Field 51,SurfaceProcessing,0.0
test-fields,Field 51,TransportAndStorage,0.0
test-fields,Field 51,LiquifiedNaturalGas,0.0
test-fields,Field 51,After,0.0
test-fields,Field 52,TOTAL,7.241715277486737
test-fields,Field 52,ExplorationAndDrilling,1.7200128770655678
test-fields,Field 52,ProductionExtraction,5.3106495690395406
test-fields,Field 52,SurfaceProcessing,0.0
test-fields,Field 52,TransportAndStorage,0.0
test-fields,Field 52,LiquifiedNaturalGas,0.0
test-fields,Field 52,After,0.0
test-fields,Field 53,TOTAL,30.344685517800105
test-fields,Field 53,ExplorationAndDrilling,1.732854818282328
test-fields,Field 53,ProductionExtraction,27.480775936505673
test-fields,Field 53,SurfaceProcessing,0.0
test-fields,Field 53,TransportAndStorage,0.0
test-fields,Field 53,LiquifiedNaturalGas,0.0
test-fields,Field 53,After,0.0
test-fields,Field 54,TOTAL,5.245857095378659
test-fields,Field 54,ExplorationAndDrilling,1.7200759991518104
test-fields,Field 54,ProductionExtraction,3.1737997154175646
test-fields,Field 54,SurfaceProcessing,0.0
test-fields,Field 54,TransportAndStorage,0.0
test-fields,Field 54,LiquifiedNaturalGas,0.0
test-fields,Field 54,After,0.0
test-fields,Field 55,TOTAL,5.245857095378659
test-fields,Field 55,ExplorationAndDrilling,1.7200759991518104
test-fields,Field 55,ProductionExtraction,3.1737997154175646
test-fields,Field 55,SurfaceProcessing,0.0
test-fields,Field 55,TransportAndStorage,0.0
